X,Y,Name,description
8.60777777777778,46.5142777777778,Airolo,Airolo lies just south of the Gotthard tunnel in Ticino with a highest point of 2250m.  Full resort guide at http://activityworkshop.net/snowboarding/switzerland/airolo.html
8.61177777777778,46.6023888888889,Andermatt Gemsstock,Andermatt lies in the heart of the Swiss alps with a highest point of 2960m.  Full resort guide at http://activityworkshop.net/snowboarding/switzerland/andermatt.html
9.63877777777778,46.7896111111111,Arosa,"Arosa is at the end of a very scenic valley from Chur, with a highest point of 2650m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/arosa.html"
8.98713888888889,46.93825,Braunwald,"Braunwald is a small resort in canton Glarus.  Highest point: 1900m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/braunwald.html"
8.69866666666667,47.0286388888889,Brunni,"Brunni is a small and basic resort at the base of the Grosser Mythen near Schwyz.  Highest point: 1510m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/brunni.html"
9.84886111111111,46.7721944444444,Davos Jakobshorn,"The Jakobshorn is part of the Davos ski area, but on the other side of the valley from the Parsenn area.  Highest point: 2590m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/davos.html"
9.80627777777778,46.8339722222222,Davos Parsenn,"The Parsenn area forms a large and popular ski area, with access from Davos and Klosters. Highest point: 2840m. Full resort guide at http://activityworkshop.net/snowboarding/switzerland/davos.html"
9.40776503163675,47.2858489389382,Ebenalp,"Ebenalp is a very small resort on the end of the Säntis range in eastern Switzerland. Highest point: 1640m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/ebenalp.html"
9.14102777777778,46.9296111111111,Elm,"Elm is a medium-sized resort in canton Glarus, with a highest point at 2100m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/elm.html"
8.38772222222222,46.7909166666667,Engelberg,"Engelberg Titlis is one of the higher resorts in Switzerland, with a highest point of 3020m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/titlis.html"
9.18111111111111,46.8733888888889,Flims,"Flims / Laax / Falera is a huge and high resort in Graubünden.  Highest point: 3020m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/flims.html"
9.26655555555556,47.0731666666667,Flumserberg,"Flumserberg is a popular and varied resort by the Walensee, opposite the Churfirstens.  Highest point: 2220m.
Full resort guide at http://activityworkshop.net/snowboarding/switzerland/flumserberg.html"
